T5_learning difficulty,T2_Post_effectiveness,T4_Post_needforhelp,T7_shared_control_student,T8_shared_teacher,T11__cogn_load,T13_own_effort,T14_TAM_easy,student_id
2.6,4.0,3.0,4.25,3.75,2.0,3.75,3.6,peetri77
3.2,4.0,1.0,5.0,5.0,1.75,4.75,5.0,peetri78
2.2,3.17,3.5,5.0,4.75,3.0,4.25,4.4,peetri79
2.8,2.67,3.5,3.0,3.0,3.0,1.5,3.2,peetri81
2.6,4.17,2.5,4.5,4.0,2.25,4.5,4.8,peetri82
5.4,3.17,2.5,4.0,2.75,3.13,2.75,2.8,peetri83
2.0,1.83,5.0,4.5,4.5,2.88,1.5,4.6,peetri85
3.2,3.0,3.0,3.0,3.0,3.0,2.75,1.8,peetri86
4.0,2.83,3.5,3.0,4.0,3.13,2.75,3.4,peetri87
2.8,3.5,3.5,3.75,3.75,2.63,3.75,3.0,peetri88
3.4,2.33,3.5,3.0,3.0,3.88,3.0,3.8,peetri89
2.6,3.67,3.5,4.0,4.75,3.13,3.75,3.4,peetri90
3.8,4.0,2.0,4.0,3.5,1.88,3.25,4.0,peetri91
4.0,2.17,3.0,4.0,4.0,2.75,3.5,3.2,peetri92
3.6,3.0,2.5,3.0,3.0,3.0,3.0,3.0,peetri93
3.8,2.5,4.5,4.0,4.0,4.13,3.25,3.6,peetri94
3.2,3.0,3.0,3.5,3.5,3.63,3.75,2.6,peetri96
3.2,2.17,2.5,3.75,3.75,3.0,3.0,4.0,peetri97
